age,qx,lx,dx,Lx,Tx,ex
38–39,0.001847,"96,768",179,"96,679","4,134,967",42.7
39–40,0.001912,"96,589",185,"96,497","4,038,289",41.8
40–41,0.001990,"96,404",192,"96,309","3,941,792",40.9
41–42,0.002087,"96,213",201,"96,112","3,845,483",40.0
42–43,0.002205,"96,012",212,"95,906","3,749,371",39.1
43–44,0.002344,"95,800",225,"95,688","3,653,465",38.1
44–45,0.002501,"95,576",239,"95,456","3,557,777",37.2
45–46,0.002679,"95,336",255,"95,209","3,462,321",36.3
46–47,0.002877,"95,081",274,"94,944","3,367,112",35.4
47–48,0.003094,"94,808",293,"94,661","3,272,168",34.5
48–49,0.003334,"94,514",315,"94,357","3,177,507",33.6
49–50,0.003608,"94,199",340,"94,029","3,083,151",32.7
50–51,0.003904,"93,859",366,"93,676","2,989,121",31.8
51–52,0.004238,"93,493",396,"93,295","2,895,445",31.0
52–53,0.004639,"93,097",432,"92,881","2,802,151",30.1
53–54,0.005107,"92,665",473,"92,428","2,709,270",29.2
54–55,0.005615,"92,191",518,"91,933","2,616,842",28.4
55–56,0.006123,"91,674",561,"91,393","2,524,910",27.5
56–57,0.006630,"91,112",604,"90,810","2,433,517",26.7
57–58,0.007167,"90,508",649,"90,184","2,342,706",25.9
58–59,0.007754,"89,860",697,"89,511","2,252,522",25.1
59–60,0.008394,"89,163",748,"88,789","2,163,011",24.3
60–61,0.009090,"88,415",804,"88,013","2,074,222",23.5
61–62,0.009808,"87,611",859,"87,181","1,986,209",22.7
62–63,0.010518,"86,751",912,"86,295","1,899,028",21.9
63–64,0.011202,"85,839",962,"85,358","1,812,733",21.1
64–65,0.011890,"84,877","1,009","84,373","1,727,375",20.4
65–66,0.012621,"83,868","1,059","83,339","1,643,002",19.6
66–67,0.013499,"82,810","1,118","82,251","1,559,663",18.8
67–68,0.014468,"81,692","1,182","81,101","1,477,412",18.1
68–69,0.015571,"80,510","1,254","79,883","1,396,311",17.3
69–70,0.016804,"79,256","1,332","78,590","1,316,428",16.6
70–71,0.018143,"77,924","1,414","77,218","1,237,837",15.9
71–72,0.019683,"76,511","1,506","75,758","1,160,620",15.2
72–73,0.021193,"75,005","1,590","74,210","1,084,862",14.5
73–74,0.023529,"73,415","1,727","72,551","1,010,652",13.8
74–75,0.025583,"71,688","1,834","70,771","938,101",13.1
75–76,0.028288,"69,854","1,976","68,866","867,330",12.4
76–77,0.030996,"67,878","2,104","66,826","798,464",11.8
77–78,0.034485,"65,774","2,268","64,640","731,638",11.1
78–79,0.038071,"63,506","2,418","62,297","666,999",10.5
79–80,0.042153,"61,088","2,575","59,800","604,702",9.9
80–81,0.046589,"58,513","2,726","57,150","544,902",9.3
81–82,0.051588,"55,787","2,878","54,348","487,752",8.7
82–83,0.057742,"52,909","3,055","51,381","433,404",8.2
83–84,0.064540,"49,854","3,218","48,245","382,023",7.7
84–85,0.071641,"46,636","3,341","44,966","333,778",7.2
85–86,0.080529,"43,295","3,487","41,552","288,812",6.7
86–87,0.089744,"39,809","3,573","38,022","247,260",6.2
87–88,0.100480,"36,236","3,641","34,416","209,238",5.8
88–89,0.112250,"32,595","3,659","30,766","174,822",5.4
89–90,0.125094,"28,936","3,620","27,126","144,057",5.0
90–91,0.139038,"25,317","3,520","23,557","116,930",4.6
91–92,0.154096,"21,797","3,359","20,117","93,374",4.3
92–93,0.170257,"18,438","3,139","16,868","73,256",4.0
93–94,0.187494,"15,299","2,868","13,864","56,388",3.7
94–95,0.205752,"12,430","2,558","11,151","42,524",3.4
95–96,0.224954,"9,873","2,221","8,762","31,372",3.2
96–97,0.244995,"7,652","1,875","6,714","22,610",3.0
97–98,0.265747,"5,777","1,535","5,010","15,896",2.8
98–99,0.287060,"4,242","1,218","3,633","10,886",2.6
99–100,0.308767,"3,024",934,"2,557","7,253",2.4
100 and over,1,"2,090","2,090","4,696","4,696",2.2
