age,qx,lx,dx,Lx,Tx,ex
52–53,0.005871,"91,220",536,"90,952","2,574,616",28.2
53–54,0.006466,"90,685",586,"90,391","2,483,663",27.4
54–55,0.007110,"90,098",641,"89,778","2,393,272",26.6
55–56,0.007745,"89,458",693,"89,111","2,303,494",25.7
56–57,0.008371,"88,765",743,"88,393","2,214,383",24.9
57–58,0.009031,"88,022",795,"87,624","2,125,989",24.2
58–59,0.009754,"87,227",851,"86,801","2,038,365",23.4
59–60,0.010542,"86,376",911,"85,921","1,951,564",22.6
60–61,0.011394,"85,465",974,"84,979","1,865,643",21.8
61–62,0.012266,"84,492","1,036","83,973","1,780,664",21.1
62–63,0.013132,"83,455","1,096","82,907","1,696,691",20.3
63–64,0.013973,"82,359","1,151","81,784","1,613,784",19.6
64–65,0.014824,"81,209","1,204","80,607","1,532,000",18.9
65–66,0.015735,"80,005","1,259","79,375","1,451,393",18.1
66–67,0.016846,"78,746","1,327","78,083","1,372,018",17.4
67–68,0.018030,"77,419","1,396","76,721","1,293,935",16.7
68–69,0.019311,"76,023","1,468","75,289","1,217,214",16.0
69–70,0.020711,"74,555","1,544","73,783","1,141,924",15.3
70–71,0.022168,"73,011","1,619","72,202","1,068,141",14.6
71–72,0.023889,"71,393","1,706","70,540","995,939",14.0
72–73,0.025532,"69,687","1,779","68,798","925,399",13.3
73–74,0.028360,"67,908","1,926","66,945","856,601",12.6
74–75,0.030835,"65,982","2,035","64,965","789,656",12.0
75–76,0.034133,"63,948","2,183","62,856","724,692",11.3
76–77,0.037419,"61,765","2,311","60,609","661,835",10.7
77–78,0.041663,"59,454","2,477","58,215","601,226",10.1
78–79,0.045916,"56,977","2,616","55,669","543,011",9.5
79–80,0.050626,"54,360","2,752","52,984","487,342",9.0
80–81,0.055804,"51,608","2,880","50,168","434,358",8.4
81–82,0.061687,"48,728","3,006","47,226","384,189",7.9
82–83,0.068546,"45,723","3,134","44,156","336,964",7.4
83–84,0.076188,"42,589","3,245","40,966","292,808",6.9
84–85,0.085176,"39,344","3,351","37,668","251,842",6.4
85–86,0.095441,"35,993","3,435","34,275","214,174",6.0
86–87,0.104849,"32,557","3,414","30,851","179,899",5.5
87–88,0.117772,"29,144","3,432","27,428","149,048",5.1
88–89,0.131915,"25,711","3,392","24,016","121,621",4.7
89–90,0.147299,"22,320","3,288","20,676","97,605",4.4
90–91,0.163928,"19,032","3,120","17,472","76,929",4.0
91–92,0.181777,"15,912","2,892","14,466","59,457",3.7
92–93,0.200793,"13,020","2,614","11,713","44,991",3.5
93–94,0.220893,"10,405","2,298","9,256","33,278",3.2
94–95,0.241959,"8,107","1,962","7,126","24,022",3.0
95–96,0.263845,"6,145","1,621","5,335","16,896",2.7
96–97,0.286376,"4,524","1,296","3,876","11,561",2.6
97–98,0.309354,"3,228",999,"2,729","7,685",2.4
98–99,0.332563,"2,230",742,"1,859","4,956",2.2
99–100,0.355779,"1,488",529,"1,223","3,097",2.1
100 and over,1.000000,959,959,"1,874","1,874",2.0
