age,qx,lx,dx,Lx,Tx,ex
86–87,0.052283,"66,397","3,471","64,661","530,178",8.0
87–88,0.060416,"62,926","3,802","61,025","465,516",7.4
88–89,0.069652,"59,124","4,118","57,065","404,491",6.8
89–90,0.080088,"55,006","4,405","52,803","347,427",6.3
90–91,0.091819,"50,601","4,646","48,277","294,623",5.8
91–92,0.104927,"45,954","4,822","43,544","246,346",5.4
92–93,0.119475,"41,133","4,914","38,675","202,802",4.9
93–94,0.135504,"36,218","4,908","33,764","164,127",4.5
94–95,0.153027,"31,311","4,791","28,915","130,362",4.2
95–96,0.172018,"26,519","4,562","24,238","101,448",3.8
96–97,0.192410,"21,957","4,225","19,845","77,209",3.5
97–98,0.214093,"17,733","3,796","15,834","57,364",3.2
98–99,0.236911,"13,936","3,302","12,285","41,530",3.0
99–100,0.260667,"10,635","2,772","9,249","29,244",2.7
100 and over,1.000000,"7,862","7,862","19,996","19,996",2.5
